Username,artist_name,track_name,genre,track_id,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
massdosage,Gustavo Santaolalla,All Gone (Overcome),Soundtrack,16f3SD4D0j9vF3pQst4guV,29,0.95,0.2,0.0222,0.948,0.109,-30.781,0.0442,66.068,0.0303
massdosage,Gustavo Santaolalla,All Gone (Seasons),Soundtrack,6hr6UGGnxSPT9964fosiX3,39,0.634,0.109,0.0218,0.887,0.067,-30.025,0.0422,89.829,0.0386
massdosage,Gustavo Santaolalla,All Gone (Partners),Classical,13FQVStlKEXp2MKoDOY5WF,31,0.959,0.258,0.0187,0.31,0.102,-28.826,0.0404,74.711,0.0364
massdosage,Gustavo Santaolalla,Unstable,Soundtrack,25bBqsuCBXfjAV83lO0ep3,27,0.952,0.525,0.027,0.902,0.101,-31.436,0.0346,118.088,0.0437
massdosage,Jeremy Soule,Into Darkness,Soundtrack,0SFWcamLEyYV9EtYz91oHG,45,0.943,0.165,0.0101,0.84,0.0957,-41.372,0.0402,78.207,0.0323
massdosage,Jeremy Soule,Beneath the Ice,Soundtrack,2fV0IaXWhhw3qH1UqIlxLJ,46,0.899,0.0723,0.0604,0.878,0.114,-31.495,0.0453,79.154,0.0304
massdosage,Jeremy Soule,Death in the Darkness,Soundtrack,1q2Mit91oCqQtuO8TJa77S,42,0.92,0.202,0.0136,0.91,0.113,-42.062,0.0394,62.971,0.0325
massdosage,Jeremy Soule,Towers and Shadows,Soundtrack,0o9tFXB50ZHr80WuBETEV5,43,0.765,0.265,0.0189,0.931,0.11,-34.296,0.0322,81.09,0.0362
massdosage,Jeremy Soule,Shadows and Echoes,Soundtrack,2xovTJpFp6nIish7Umbxnw,44,0.529,0.204,0.0639,0.965,0.348,-31.63,0.045,61.852,0.0352
massdosage,Mikolai Stroinski,Trial Of The Grasses,Soundtrack,0whhUScEFSwmSEnQwCqC4W,42,0.827,0.349,0.488,0.987,0.137,-17.277,0.0298,80.013,0.0649
massdosage,John Powell,"Focus, Hiccup!",Soundtrack,0yLBvX8Og6MasLu0hUwiBk,44,0.316,0.359,0.771,0.843,0.128,-9.195,0.147,78.71,0.229
massdosage,John Powell,Dragon's Den,Soundtrack,3kZEbZXTDpSC3HmosIsDpf,45,0.346,0.4,0.462,0.717,0.0385,-11.369,0.0407,108.952,0.238
massdosage,Jeremy Soule,Death or Sovngarde,Soundtrack,2MsJZoon1bDM3KC9RaoZxu,45,0.65,0.247,0.502,0.925,0.122,-10.38,0.0332,74.922,0.177
massdosage,As I Lay Dying,My Own Grave,Alternative,2QcHIZFd5Meeroa1HB1L90,58,0.000109,0.474,0.995,0.00976,0.05,-4.316,0.279,125.025,0.0394
massdosage,As I Lay Dying,Redefined,Alternative,27hRxhP8ZOEAKRE4O6TAeK,57,4.61e-06,0.461,0.954,0.518,0.0724,-5.003,0.0989,140.079,0.253
massdosage,As I Lay Dying,Nothing Left,Alternative,2zy79BntQ1kumEUeqM5O84,52,6.34e-05,0.388,0.979,0.0567,0.663,-4.389,0.176,183.905,0.0547
massdosage,Parkway Drive,Vice Grip,Alternative,0AHHDAHFRaT82UVw5fMr1R,56,3.17e-05,0.48,0.988,0.00432,0.389,-3.229,0.0838,124.041,0.252
massdosage,blink-182,Mutt,Rock,17DQL92ta5zLI44QNGMr9q,58,0.0152,0.576,0.935,4.81e-06,0.349,-3.963,0.0514,105.801,0.737
massdosage,Lady Gaga,ScheiBe,Dance,1RFXENx9ILC6PECmNhEstC,46,0.0049,0.739,0.97,1.06e-06,0.273,-4.885,0.118,131.003,0.519
massdosage,I'm Glad It's You,Curbside,Alternative,6Y1uuuTA8CXKV8irnhcAv9,42,0.0295,0.291,0.598,0.00227,0.0738,-6.972,0.0394,146.245,0.186
massdosage,Madvillain,Accordion,Alternative,5jAvbp8kEnRPToi4Bzcvzt,56,0.0243,0.578,0.631,0.0,0.0665,-6.518,0.309,96.332,0.716
massdosage,Basement Jaxx,Where's Your Head At,Alternative,6cOyq898FB1fYOewPOwjyS,44,7.17e-05,0.603,0.92,0.11,0.222,-4.828,0.0299,127.868,0.401
massdosage,Bonobo,Terrapin,Electronic,2LOgzGjSjlc1XU5swRYFuT,44,0.78,0.551,0.328,0.928,0.111,-16.384,0.0345,152.003,0.0396
massdosage,Electric Guest,This Head I Hold,Alternative,1tzPSule9WZ9B8SujHv8fp,53,0.0255,0.596,0.871,0.0101,0.249,-4.912,0.0375,80.939,0.961
massdosage,Muse,Madness,Rock,0c4IEciLCDdXEhhKxj4ThA,71,0.127,0.502,0.417,0.00419,0.106,-7.665,0.0718,180.301,0.218
massdosage,Gorillaz,Tranz,Alternative,7jYUaoOfdcYgUvkK8NnFfx,62,0.0324,0.649,0.883,0.0185,0.0658,-5.058,0.0306,135.141,0.779
massdosage,Intocable,¿Y Todo Para Qué?,Pop,7EdSK9nLBY2RgbJ7g22s4z,67,0.306,0.691,0.636,5.34e-05,0.321,-7.801,0.0275,102.841,0.783
massdosage,Chayín Rubio,Ya Me Enteré,Pop,4ggabbjjuHrG06SsYnqvEs,69,0.835,0.657,0.591,0.0,0.248,-3.505,0.0297,132.041,0.687
massdosage,Voz De Mando,Y Ahora Resulta,Hip-Hop,6urCY4DusFP1RSl5H2gQC2,66,0.261,0.826,0.515,1.86e-05,0.0762,-5.252,0.0463,149.59,0.864
massdosage,Ulices Chaidez,Te Regalo,Pop,7c36pInnsI3DzAGDQcTW99,70,0.796,0.685,0.443,6.94e-06,0.115,-7.463,0.0376,136.958,0.703
massdosage,Nilüfer Yanya,In Your Head,Alternative,2zKwL2iB6OllEknSXuSwbX,38,0.00154,0.571,0.517,0.0,0.112,-6.757,0.033,132.996,0.465
massdosage,boy pablo,t-shirt,Indie,3GdraAzwDDHC8OWOcWYb5Q,59,0.0038,0.274,0.613,0.000184,0.133,-11.557,0.0363,108.004,0.449
massdosage,boy pablo,Sick Feeling,Indie,7zxLkZbUxITHabPzGN8Xgc,66,0.022,0.425,0.504,3.84e-06,0.363,-10.003,0.0314,165.818,0.403
massdosage,boy pablo,wtf,Indie,3OYSWIgKXiwjutuQ4NEk1b,61,0.0496,0.714,0.567,0.000115,0.0586,-10.738,0.0325,127.972,0.953
massdosage,boy pablo,Feeling Lonely,Indie,5uIRujGRZv5t4fGKkUTv4n,69,0.014,0.635,0.537,3.72e-05,0.103,-10.45,0.0536,117.942,0.885
massdosage,Bonobo,Black Sands,Electronic,6uoM7KHsyJsHZqBQHKjQbc,57,0.732,0.525,0.499,0.936,0.0966,-9.023,0.0246,87.989,0.338
massdosage,Red Hot Chili Peppers,Suck My Kiss,Alternative,0psB5QzGb4653K0uaPgEyh,60,0.000617,0.623,0.936,9.86e-05,0.269,-9.955,0.0528,101.514,0.705
massdosage,Red Hot Chili Peppers,Breaking the Girl,Alternative,0cG9ocYqYOIVtgiWTmTe3g,59,0.0233,0.348,0.686,0.00256,0.145,-12.748,0.0319,178.466,0.635
massdosage,Men I Trust,Curious Fish (feat. Emmanuelle),Soul,1qJRHo7u8xep1Qk2e4QhOe,42,0.306,0.883,0.432,0.454,0.0844,-10.394,0.0589,143.969,0.454
massdosage,Huey Lewis & The News,Stuck With You,Dance,2cFl7utlqyZjCXN1G5nRvA,60,0.0873,0.704,0.544,1.66e-05,0.041,-11.402,0.026,120.717,0.628
massdosage,T.I.,Whatever You Like,Dance,1IAzD1muglOxOcPbUHs70R,75,0.0161,0.68,0.687,0.0,0.261,-6.162,0.0709,150.053,0.467
massdosage,Nils Frahm,Sweet Little Lie,World,71euNsYxKwEwZ3FvU0MTnm,62,0.984,0.107,0.143,0.972,0.831,-26.875,0.0405,185.123,0.127
massdosage,Jessica Pratt,Aeroplane,Folk,4kd801JfXtUcsXLH9Yt5tA,41,0.966,0.216,0.192,0.0714,0.1,-14.597,0.0353,180.657,0.209
massdosage,Jessica Pratt,Silent Song,Folk,2DpfWbjgIp41R9J2PDkRqb,40,0.958,0.542,0.175,0.0182,0.161,-14.754,0.0302,103.251,0.0548
massdosage,Jessica Pratt,Crossing,Folk,0MZYLqdU5TvwuOAtLgggxd,41,0.968,0.565,0.268,0.797,0.114,-11.023,0.0303,73.216,0.26
massdosage,Jessica Pratt,This Time Around,Folk,4LELufZmfxlbaw6SUzt3d6,49,0.939,0.424,0.0977,0.0,0.109,-13.594,0.0512,132.08,0.236
massdosage,Jessica Pratt,Poly Blue,Folk,53YdEIqVA0utxYjd3AXMxr,43,0.953,0.318,0.246,0.0032,0.105,-11.342,0.046,207.893,0.342
massdosage,Jessica Pratt,Here My Love,Folk,3letWBSelrcC99Urs7oaiV,42,0.973,0.493,0.203,0.00112,0.106,-12.636,0.0322,87.961,0.182
massdosage,Jessica Pratt,Fare Thee Well,Folk,0C9Vvhr1i3b8BNiVIGapzA,47,0.899,0.425,0.232,0.000687,0.111,-11.024,0.0308,80.83,0.274
massdosage,Jessica Pratt,As The World Turns,Folk,4TQIGWPql1V12JHOMgiJlN,44,0.972,0.429,0.0642,0.000652,0.105,-15.891,0.0419,118.359,0.306
massdosage,Jessica Pratt,Opening Night,Folk,4MdqeHuOO4RbtfYmBP9mD9,43,0.992,0.583,0.0911,0.961,0.116,-14.293,0.0365,79.932,0.0711
massdosage,Henry Mancini,The Evil Theme,Jazz,2U4OY1E1rYJUlLXHknuoMf,39,0.961,0.705,0.0167,0.754,0.0992,-29.803,0.0831,159.788,0.302
massdosage,Piero Piccioni,Mexican Dream,Soundtrack,1quput6F30wXk7Ym6XMPvS,31,0.955,0.336,0.493,0.935,0.0948,-14.472,0.0351,81.653,0.666
massdosage,Piero Umiliani,Lady Magnolia,Soundtrack,5yEu5YHXKzbBerMRWQyQoR,34,0.762,0.382,0.473,0.829,0.0945,-16.164,0.0443,161.114,0.641
massdosage,Henry Mancini,Moon River(Original Main Title),Soundtrack,2HUAjeHWA7FQNbnWhlboOL,47,0.948,0.0833,0.139,0.838,0.115,-19.683,0.0326,169.573,0.0393
massdosage,Henry Mancini,Pink Panther Theme,Jazz,1QPRmX2e3EZWskuOe5QqxM,51,0.567,0.595,0.0711,0.035,0.118,-15.783,0.0372,115.457,0.128
massdosage,John Barry,Midnight Cowboy,Soundtrack,5za9NyS0nZ0nctCyuYh5GI,32,0.108,0.275,0.5,0.901,0.144,-12.276,0.0299,160.022,0.288
massdosage,Lalo Schifrin,Danube Incident,Soundtrack,2QqouLGFYMynquwDMYUGk1,33,0.68,0.668,0.0795,0.728,0.0919,-23.463,0.044,87.901,0.37
